series_id,n,bias,rmse,mae
135,201,-0.3190712002350601,0.32167412815316404,0.3190712002350601
136,225,-1.9920815050837606,2.00052409478423,1.9920815050837606
137,117,-0.6257803906504816,0.639049723997248,0.6257803906504816
138,477,2.191472153994528,2.1928244567050146,2.1914721539945283
139,369,2.6493137091006904,2.6561414833853383,2.64931370910069
140,345,-0.23453721194527882,0.2707201951670941,0.23980738372690402
141,357,-0.8332568787567193,0.8595255220398075,0.833770467210279
142,441,-0.3158755546998894,0.3996752314486303,0.3158755546998894
143,453,-1.1043379863730798,1.1057876083434548,1.1043379863730798
144,357,0.11966432413913533,0.1253525858307782,0.11966432413913533
145,249,2.616886825379387,2.6208074006067643,2.616886825379387
146,273,3.8727993176888096,3.8752288195209563,3.8727993176888096
147,381,1.4703350525360308,1.4734546330040854,1.4703350525360308
148,129,-0.17493832999388312,0.17959848159753358,0.17493832999388312
149,165,-1.3541322280451111,1.3564988559218805,1.3541322280451111
150,427,-0.8883816966808554,0.8921727587744592,0.8883816966808555
151,344,-0.030694454303982103,0.05428779779055409,0.03949665080198108
152,153,0.10002896763765382,0.13901137786519077,0.11361218935883327
153,392,-1.2284815199551913,1.2397128020590162,1.2284815199551913
154,381,-0.6917983497475472,0.7029442243725641,0.6917983497475472
155,309,2.7210229833686705,2.7221768966366833,2.7210229833686705
156,273,1.3724041087019598,1.3760855018122284,1.3724041087019598
157,191,-2.1391793147529734,2.1405877610169934,2.1391793147529734
158,357,1.9337270189990228,1.9781313164131653,1.9337270189990228
159,453,-0.04213858350686991,0.20966693299465336,0.1633855890351085
160,249,-1.8452377107144216,1.8491635679562268,1.8452377107144216
161,392,2.1868799487173423,2.1885672706917463,2.1868799487173423
162,453,-0.23297253155973904,0.248325188541338,0.23367693885694577
163,344,-0.3294014188439292,0.3338621640595537,0.3294014188439292
164,488,-4.842877733157589,5.036056676209295,4.842877733157589
165,345,-0.042437621679760645,0.10811620085277641,0.08742523594120884
166,357,-1.666436002552502,1.6680837358143297,1.6664360025525022
167,381,0.5711152949196479,0.5778697446938539,0.5711152949196479
168,487,-1.513932997492088,1.5153371300189131,1.5139329974920883
169,333,2.3107753809751412,2.315531459952373,2.3107753809751412
170,309,2.0495698895872048,2.0531181783475883,2.0495698895872048
171,141,-0.21770714343428996,0.25575930497611016,0.23166238284216473
172,261,2.9892905140496833,2.991159251514306,2.9892905140496833
173,141,-2.0525871077445594,2.052970794323639,2.0525871077445594
174,237,-0.011052311788570706,0.10071995102494138,0.0834971573730511
175,333,1.2367716389919072,1.2385723950343355,1.2367716389919072
176,105,-2.302180323044088,2.3023626621197306,2.302180323044088
177,284,0.6810603108267738,0.7009988417617686,0.6810603108267739
178,308,-0.4106061063135388,0.4128304782986554,0.4106061063135388
179,57,-0.19396210160638708,0.19828863963293739,0.19396210160638708
180,369,6.345210534507269,6.354217998874706,6.34521053450727
181,165,0.8615706384853742,0.8644925756113148,0.8615706384853743
182,285,-2.3536593382390842,2.3541959989966665,2.3536593382390842
183,393,-0.5054328082452425,0.514553366576099,0.5054328082452425
184,260,0.036438848556361716,0.1997922050680937,0.17311248548933422
185,129,-0.562394689198523,0.564977257305463,0.562394689198523
186,249,-1.078296737851239,1.107173903348023,1.0782967378512387
187,182,-1.8976739488126146,1.9003010615619522,1.897673948812615
188,333,-0.8454894947571686,0.8480460787414164,0.8454894947571687
189,153,0.4146533816065493,0.42452950261553485,0.4146533816065493
190,208,-1.0948292101718218,1.1111889351091335,1.0948292101718218
191,368,1.005547869677326,1.018304622705358,1.005547869677326
192,380,4.456053055807556,4.469866428318422,4.456053055807556
193,380,0.1837416308823905,0.22033577347691458,0.18578777509232913
194,719,-0.0432942190728711,0.06184938924758553,0.05113869597996659
195,392,0.35434162579541806,0.3617111417583111,0.354341625795418
196,331,-1.3043386887693291,1.3054046042627443,1.3043386887693291
197,116,1.8267919880837735,1.8315780428490516,1.8267919880837735
198,489,3.3626551664616606,3.3815189449730565,3.362655166461661
199,427,2.99514457348981,3.0040955723766976,2.99514457348981
200,105,0.11954713362931677,0.1313546806366405,0.11954713362931677
201,343,2.951518953193694,2.9524091066453266,2.9515189531936934
202,284,1.0118314579123442,1.0132471664120088,1.011831457912344
203,343,5.371317999021955,5.376149281568192,5.371317999021955
204,224,1.350578151336031,1.354728585605413,1.350578151336031
205,140,-0.06827423461493658,0.08410951090085392,0.07573305268494426
206,325,-3.2559963821948226,3.2585656194751573,3.2559963821948226
207,451,-0.5348308098795953,0.549845320023501,0.5348308098795952
208,439,-0.39570557308387927,0.43660019470075073,0.39570557308387927
209,405,1.6851596307059198,1.6950095637134803,1.68515963070592
210,369,8.842793572451413,8.846060758024427,8.842793572451413
211,487,-2.2555996735126826,2.261418731472527,2.255599673512683
212,379,-0.12423269274531427,0.13000042694590094,0.1242326927453143
213,308,0.2585901880359096,0.27070017669543534,0.2585901880359096
214,379,-0.23735585965749592,0.2834245536504663,0.24675003644655966
215,405,-1.1588267684979356,1.165680958067107,1.1588267684979359
216,499,-2.5988683858430663,2.6058534747473523,2.598868385843067
217,225,-1.9796701960513063,1.9798118254653,1.9796701960513063
218,465,2.5229354124015306,2.556247999048053,2.522935412401531
219,381,-0.9351539209508258,0.9438759212847792,0.9351539209508258
220,261,-0.4850070984656718,0.49399783102662514,0.4850070984656718
221,202,-3.0556560536578523,3.0588677238473583,3.0556560536578523
222,189,-0.18086458917316978,0.2445006128291793,0.20733786740372348
223,596,0.6222850598272396,0.6301552051601914,0.6222850598272396
